"","species","reference_no","subfamily","Tribe","Genus","Fossil","min_ma","max_ma","Notes"
"1","duisburgi","44414","Agroecomyrmecinae",NA,"Agroecomyrmex","Yes",33.9,38,"Note"
"2","rugosus","4971","Agroecomyrmecinae",NA,"Eulithomyrmex","Yes",33.9,37.2,"Note"
"3","striatus","4971","Agroecomyrmecinae",NA,"Eulithomyrmex","Yes",33.9,37.2,"Note"
"4",NA,"59088","Ambyloponinae",NA,"None","Yes",20.44,23.03,"Note"
"5",NA,"53165","Ambyloponinae","Amblyoponini","Amblyoponini","Yes",20.44,23.03,"Note"
"6","eocenica","43781","Ambyloponinae",NA,"Casaleia","Yes",40.4,48.6,"Note"
"7","inversa","41286","Ambyloponinae",NA,"Casaleia","Yes",5.333,15.97,"Note"
"8","longiventris","37344","Ambyloponinae",NA,"Casaleia","Yes",11.608,12.7,"Note"
"9","orientalis","56094","Ambyloponinae",NA,"Casaleia","Yes",33.9,38,"Note"
"10","sinensis","16579","Ambyloponinae",NA,"Myopopone","Yes",11.608,15.97,"Note"
"11","electrina","44602","Ambyloponinae",NA,"Stigmatomma","Yes",33.9,38,"Note"
"12","groehni","44602","Ambyloponinae",NA,"Stigmatomma","Yes",33.9,38,"Note"
"13","deformis","44404","Aneuretinae",NA,"Aneuretellus","Yes",41.3,47.8,"Note"
"14","anglicus","37729","Aneuretinae",NA,"Britaneuretus","Yes",33.9,38,"Note"
"15","rossi","39313","Aneuretinae",NA,"Burmomyrma","Yes",93.5,99.6,"Note"
"16","occidentalis","36535","Aneuretinae",NA,"Cananeuretus","Yes",70.6,83.5,"Note"
"17",NA,"44418","Aneuretinae",NA,"Mianeuretus","Yes",46.2,50.3,"Note"
"18","eocenicus","44418","Aneuretinae",NA,"Mianeuretus","Yes",46.2,50.3,"Note"
"19","mirabilis","4971","Aneuretinae",NA,"Mianeuretus","Yes",33.9,37.2,"Note"
"20","dubovikoffi","56094","Aneuretinae",NA,"Paraneuretus","Yes",33.9,38,"Note"
"21","longicornis","40999","Aneuretinae",NA,"Paraneuretus","Yes",33.9,38,"Note"
"22","tornquisti","40999","Aneuretinae",NA,"Paraneuretus","Yes",33.9,38,"Note"
"23","tornquisti","40999","Aneuretinae",NA,"Pityomyrmex","Yes",33.9,38,"Note"
"24","succineus","40999","Aneuretinae",NA,"Protaneuretus","Yes",33.9,38,"Note"
"25","kzylzharica","37059","Armaniinae",NA,"Archaeopone","Yes",89.8,93.9,"Note"
"26","taylori","35238","Armaniinae",NA,"Archaeopone","Yes",70.6,83.5,"Note"
"27",NA,"39728","Armaniinae",NA,"Armania","Yes",89.8,93.9,"Note"
"28","capitata","39728","Armaniinae",NA,"Armania","Yes",89.8,93.9,"Note"
"29","curiosa","35238","Armaniinae",NA,"Armania","Yes",70.6,83.5,"Note"
"30","pristina","39728","Armaniinae",NA,"Armania","Yes",89.8,93.9,"Note"
"31","robusta","35238","Armaniinae",NA,"Armania","Yes",70.6,83.5,"Stem Ant?"
